prd_id,prd_name,prd_category,prd_brand,prd_cost,prd_price,prd_start_dt
SKU10063,DailyChoice Max Unit 63,Frozen Foods,SmartChoice,1698.03,2043.16,25/03/2021
SKU10064,DailyChoice Max Pack 64,Electronics,GoodBuy,1303.89,2000.97,19/07/2022
SKU10065,DailyChoice Everyday Pack 65,Electronics,TechPlus,2070.9,480.33,24/07/2020
SKU10066,DailyChoice Plus Box 66,Electronics,HomePro,2453.55,896.98,27/09/2019
SKU10067,PureLife Plus Unit 67,Office Supplies,FreshMart,957.71,1461.14,28/02/2019
SKU10068,PureLife Premium Set 68,Home & Kitchen,HomePro,2281.75,2804.45,14/09/2025
SKU10069,PrimeSelect Classic Set 69,Dairy,ValueMax,1947.39,3385.73,07/12/2019
SKU10070,TechPlus Plus Bottle 70,Groceries,GoodBuy,389.83,3971.66,23/05/2019
SKU10071,PrimeSelect Max Set 71,Home & Kitchen,HomePro,2093.1,1674.48,08/07/2022
SKU10072,ValueMax Premium Box 72,Dairy,DailyChoice,1214.14,1829.22,02/08/2025
SKU10073,HomePro Premium Set 73,Office Supplies,TechPlus,1778.72,3071.26,27/07/2019
SKU10074,HomePro Everyday Box 74,Personal Care,FreshMart,1762.48,1305.27,30/09/2020
SKU10075,GoodBuy Classic Box 75,Household,HomePro,2217.19,2175.86,21/10/2022
SKU10076,HomePro Max Box 76,Frozen Foods,DailyChoice,1907.69,2717.76,16/05/2022
SKU10077,TechPlus Plus Unit 77,Dairy,SmartChoice,2065.07,967.91,31/12/2019
SKU10078,UrbanHome Everyday Set 78,Frozen Foods,DailyChoice,815.86,1139.97,04/07/2025
SKU10079,FreshMart Everyday Unit 79,Office Supplies,DailyChoice,2433.38,1444.08,14/06/2021
SKU10080,TechPlus Classic Set 80,Frozen Foods,PrimeSelect,1660.75,2323.41,19/08/2023
SKU10081,GoodBuy Premium Unit 81,Home & Kitchen,HomePro,1938.76,1103.55,18/02/2022
SKU10082,UrbanHome Classic Bottle 82,Office Supplies,SmartChoice,2150.03,856.43,03/01/2023
SKU10083,PureLife Everyday Set 83,Snacks,TechPlus,326.98,623.55,11/03/2025
SKU10084,UrbanHome Max Unit 84,Groceries,PrimeSelect,854.3,3242.96,25/03/2021
SKU10085,FreshMart Premium Set 85,Office Supplies,UrbanHome,2093.12,3547.31,29/07/2024
SKU10086,PrimeSelect Premium Set 86,Household,SmartChoice,2306.52,3621.75,31/13/2022
SKU10087,PureLife Classic Bottle 87,Dairy,UrbanHome,1895.11,3291.89,03/03/2021
SKU10088,PureLife Classic Unit 88,Snacks,GoodBuy,1216.13,575.04,23/03/2019
SKU10089,SmartChoice Plus Bottle 89,Household,UrbanHome,642.78,418.08,16/05/2021
SKU10090,SmartChoice Everyday Bottle 90,Snacks,FreshMart,1322.07,2011.68,05/01/2023
SKU10091,UrbanHome Classic Unit 91,Frozen Foods,UrbanHome,1005.3,2100.07,19/05/2023
SKU10092,DailyChoice Classic Box 92,Personal Care,UrbanHome,2216.36,2939.31,11/12/2021
SKU10093,FreshMart Max Set 93,Office Supplies,HomePro,1426.82,914.84,10/06/2021
SKU10094,SmartChoice Everyday Set 94,Frozen Foods,PureLife,992.32,3725.87,14/07/2020
SKU10095,HomePro Classic Box 95,Groceries,PrimeSelect,1256.23,1260.42,10/03/2025
SKU10096,GoodBuy Everyday Bottle 96,Personal Care,DailyChoice,2335.25,2323.9,18/08/2021
SKU10097,ValueMax Classic Bottle 97,Beverages,PureLife,1540.88,3460.93,03/02/2021
SKU10098,PureLife Max Pack 98,Office Supplies,SmartChoice,587.87,2108.09,10/06/2025
SKU10099,UrbanHome Classic Pack 99,Groceries,GoodBuy,1260.19,3021.62,11/05/2023
SKU10100,SmartChoice Plus Unit 100,Household,PrimeSelect,1174.83,3003.63,22/10/2024
SKU10101,GoodBuy Plus Pack 101,Snacks,UrbanHome,789.8,3166.38,29/08/2021
SKU10102,FreshMart Everyday Unit 102,Home & Kitchen,SmartChoice,1846.02,3249.86,12/12/2021
SKU10103,GoodBuy Everyday Unit 103,Office Supplies,SmartChoice,685.35,1588.08,29/12/2023
SKU10104,PureLife Everyday Bottle 104,Snacks,DailyChoice,1241.52,1473.32,15/09/2025
SKU10105,TechPlus Premium Box 105,Beverages,HomePro,1113.8,891.04,25/05/2024
SKU10106,UrbanHome Max Box 106,Electronics,ValueMax,1177.82,2331.45,01/03/2022
SKU10107,PrimeSelect Classic Pack 107,Snacks,PureLife,1425.6,2442.62,03/02/2023
SKU10108,PrimeSelect Max Bottle 108,Snacks,FreshMart,1714.58,1665.31,22/05/2021
SKU10109,SmartChoice Premium Bottle 109,Household,GoodBuy,374.64,830.41,14/02/2022
SKU10110,PrimeSelect Everyday Unit 110,Personal Care,HomePro,735.05,1844.01,27/08/2021
SKU10111,HomePro Plus Bottle 111,Frozen Foods,DailyChoice,1936.64,3879.5,06/09/2019
SKU10112,DailyChoice Everyday Set 112,Personal Care,UrbanHome,2271.21,1184.74,26/12/2024
SKU10113,GoodBuy Premium Set 113,Frozen Foods,TechPlus,130.75,1109.87,09/12/2019
SKU10114,PureLife Max Pack 114,Office Supplies,TechPlus,201.95,549.21,31/10/2020
SKU10115,SmartChoice Premium Unit 115,Household,PrimeSelect,2335.9,1940.29,31/13/2022
SKU10116,HomePro Premium Bottle 116,Electronics,PrimeSelect,386.89,1175.47,09/07/2020
SKU10117,PureLife Plus Box 117,Snacks,TechPlus,2448.64,2757.88,28/05/2022
SKU10118,HomePro Everyday Pack 118,Groceries,UrbanHome,2073.99,566.44,29/07/2025
SKU10119,TechPlus Max Set 119,Household,FreshMart,319.35,1011.83,01/04/2021
SKU10120,UrbanHome Plus Pack 120,Groceries,UrbanHome,274.26,275.55,10/01/2024
SKU10121,PureLife Classic Box 121,Office Supplies,UrbanHome,2443.7,194.64,06/01/2024
SKU10122,DailyChoice Premium Box 122,Dairy,PureLife,651.96,3262.15,31/13/2022
SKU10123,DailyChoice Classic Unit 123,Personal Care,ValueMax,1355.89,3626.34,06/04/2023
SKU10124,PureLife Premium Unit 124,Snacks,DailyChoice,605.86,3062.64,25/01/2024
SKU10125,PureLife Plus Set 125,Office Supplies,TechPlus,1509.67,3464.7,18/03/2024
SKU10126,FreshMart Plus Bottle 126,Beverages,SmartChoice,2103.27,373.79,04/09/2023
SKU10127,SmartChoice Everyday Unit 127,Office Supplies,DailyChoice,1649.13,3595.59,28/10/2022
SKU10128,FreshMart Max Bottle 128,Snacks,GoodBuy,135.61,1880.18,17/08/2019
SKU10129,GoodBuy Max Box 129,Snacks,ValueMax,1496.07,3081.52,24/06/2022
SKU10130,ValueMax Plus Unit 130,Dairy,TechPlus,1659.32,1327.46,28/02/2024
SKU10131,TechPlus Plus Set 131,Beverages,PureLife,518.23,1418.98,04/05/2021
SKU10132,GoodBuy Classic Bottle 132,Frozen Foods,PureLife,1910.05,1081.25,14/09/2020
SKU10133,DailyChoice Plus Pack 133,Groceries,GoodBuy,1574.7,498.98,25/01/2023
SKU10134,DailyChoice Classic Pack 134,Groceries,PureLife,43.68,1668.22,28/11/2019
SKU10135,ValueMax Premium Set 135,Home & Kitchen,PureLife,2377.38,1991.59,03/12/2023
SKU10136,ValueMax Everyday Set 136,Dairy,SmartChoice,1125.04,3932.97,23/09/2025
SKU10137,HomePro Everyday Unit 137,Home & Kitchen,GoodBuy,596.3,178.04,25/04/2022
SKU10138,TechPlus Plus Box 138,Home & Kitchen,TechPlus,233.77,2372.89,11/03/2019
SKU10139,FreshMart Premium Set 139,Dairy,DailyChoice,948.58,2114.23,09/11/2020
SKU10140,HomePro Premium Unit 140,Frozen Foods,ValueMax,783.27,120.9,21/03/2019
SKU10141,PrimeSelect Plus Unit 141,Groceries,GoodBuy,758.92,1339.08,22/02/2022
SKU10142,TechPlus Everyday Bottle 142,Household,FreshMart,1987.14,1709.02,13/02/2021
SKU10143,ValueMax Max Box 143,Electronics,ValueMax,1621.88,1992.25,17/04/2024
SKU10144,TechPlus Premium Box 144,Frozen Foods,FreshMart,349.97,956.82,11/10/2024
SKU10145,GoodBuy Plus Bottle 145,Dairy,GoodBuy,1776.02,165.38,23/12/2021
SKU10146,UrbanHome Max Pack 146,Groceries,GoodBuy,1814.24,1196.56,10/09/2025
SKU10147,GoodBuy Everyday Unit 147,Household,FreshMart,1295.39,3350.36,28/01/2022
SKU10148,FreshMart Premium Bottle 148,Groceries,UrbanHome,2489.5,3237.2,24/10/2019
SKU10149,GoodBuy Classic Set 149,Dairy,ValueMax,723.03,747.58,20/03/2025
SKU10150,HomePro Plus Set 150,Home & Kitchen,FreshMart,164.97,2595.81,15/09/2021
SKU10151,DailyChoice Plus Bottle 151,Electronics,DailyChoice,91.44,3696.88,22/01/2025
SKU10152,HomePro Plus Bottle 152,Household,HomePro,814.96,713.27,10/01/2024
SKU10153,PureLife Classic Bottle 153,Personal Care,TechPlus,1254.84,540.85,07/06/2025
SKU10154,PrimeSelect Plus Pack 154,Dairy,GoodBuy,214.01,117.92,02/06/2023
SKU10155,ValueMax Plus Pack 155,Office Supplies,TechPlus,1423.18,1138.54,21/01/2023
SKU10156,HomePro Plus Set 156,Groceries,PureLife,2254.16,3261.39,06/08/2020
SKU10157,HomePro Plus Unit 157,Electronics,PrimeSelect,1996.22,3261.54,29/11/2020
SKU10158,GoodBuy Premium Unit 158,Dairy,HomePro,1687.72,2175.59,03/04/2021
SKU10159,DailyChoice Max Pack 159,Office Supplies,HomePro,1661.09,1354.25,13/02/2021
SKU10160,PureLife Classic Bottle 160,Personal Care,GoodBuy,1831.15,1464.92,25/01/2023
SKU10161,HomePro Max Bottle 161,Groceries,UrbanHome,1245.63,804.21,15/12/2024
SKU10162,UrbanHome Premium Unit 162,Dairy,PureLife,1016.46,585.22,30/03/2019
SKU10163,DailyChoice Classic Pack 163,Electronics,SmartChoice,780.51,384.16,27/03/2023
SKU10164,HomePro Everyday Box 164,Personal Care,PrimeSelect,267.05,3409.76,10/03/2024
SKU10165,ValueMax Plus Set 165,Frozen Foods,GoodBuy,1414.16,2867.93,13/01/2022
SKU10166,FreshMart Classic Pack 166,Snacks,PureLife,1191.84,2509.61,19/11/2020
SKU10167,PrimeSelect Plus Set 167,Office Supplies,ValueMax,314.88,2918.05,17/12/2021
SKU10168,GoodBuy Classic Box 168,Frozen Foods,ValueMax,685.31,599.61,01/09/2024
SKU10169,UrbanHome Everyday Unit 169,Household,GoodBuy,1972.26,1557.61,05/04/2025
SKU10170,HomePro Premium Bottle 170,Electronics,UrbanHome,653.9,3262.04,06/09/2023
SKU10171,UrbanHome Everyday Box 171,Dairy,UrbanHome,1075.78,3669.56,29/04/2022
SKU10172,HomePro Everyday Pack 172,Personal Care,UrbanHome,420.04,2066.99,02/06/2023
SKU10173,ValueMax Classic Pack 173,Groceries,HomePro,441.22,514.58,20/08/2023
SKU10174,FreshMart Plus Box 174,Household,PrimeSelect,1895.74,3914.71,02/04/2024
SKU10175,SmartChoice Classic Set 175,Dairy,PureLife,185.35,1598.26,31/13/2022
SKU10176,TechPlus Plus Unit 176,Electronics,GoodBuy,726.86,1296.41,07/07/2019
SKU10177,PureLife Premium Set 177,Personal Care,DailyChoice,2452.49,506.36,14/05/2021
SKU10178,GoodBuy Max Box 178,Home & Kitchen,HomePro,1200.21,80.14,11/10/2020
SKU10179,PureLife Everyday Set 179,Beverages,PrimeSelect,1523.41,1218.73,17/03/2023
SKU10180,TechPlus Premium Box 180,Groceries,TechPlus,1609.16,2461.35,28/07/2022
SKU10181,DailyChoice Max Box 181,Home & Kitchen,UrbanHome,506.42,959.94,15/04/2025
SKU10182,UrbanHome Premium Set 182,Frozen Foods,PureLife,935.97,673.09,26/04/2024
SKU10183,PureLife Plus Box 183,Personal Care,SmartChoice,1013.75,2126.19,05/01/2020
SKU10184,GoodBuy Premium Bottle 184,Personal Care,ValueMax,592.09,1758.57,23/10/2024
SKU10185,DailyChoice Everyday Bottle 185,Household,TechPlus,600.28,480.22,10/04/2024
SKU10186,UrbanHome Classic Bottle 186,Frozen Foods,PureLife,1527.52,896.38,13/08/2021
SKU10187,FreshMart Max Bottle 187,Beverages,PureLife,289.02,3441.44,25/05/2019
SKU10188,SmartChoice Plus Bottle 188,Electronics,TechPlus,340.28,3935.8,07/06/2024
SKU10189,GoodBuy Premium Box 189,Dairy,GoodBuy,1441.79,1441.66,27/04/2020
SKU10190,SmartChoice Classic Pack 190,Office Supplies,GoodBuy,1134.36,2801.58,04/07/2020
SKU10191,TechPlus Plus Unit 191,Groceries,FreshMart,1537.59,1230.07,22/03/2022
SKU10192,PureLife Premium Bottle 192,Office Supplies,PrimeSelect,86.86,136.94,26/07/2019
SKU10193,ValueMax Classic Box 193,Beverages,PrimeSelect,1768.19,3635.02,25/09/2021
SKU10194,FreshMart Max Box 194,Household,HomePro,2127.73,2011.62,08/09/2020
SKU10195,ValueMax Premium Pack 195,Beverages,HomePro,1319.87,2240.29,13/05/2019
SKU10196,DailyChoice Plus Unit 196,Personal Care,TechPlus,2105.28,2173.3,31/13/2022
SKU10197,SmartChoice Max Bottle 197,Snacks,ValueMax,1011.16,994.42,13/10/2020
SKU10198,HomePro Plus Unit 198,Office Supplies,GoodBuy,215.73,3135.5,22/09/2022
SKU10199,HomePro Premium Pack 199,Electronics,DailyChoice,956.31,2937.38,03/08/2024
SKU10200,UrbanHome Classic Unit 200,Household,SmartChoice,1126.99,410.3,18/04/2022
SKU10201,UrbanHome Max Set 201,Frozen Foods,FreshMart,2166.53,2264.28,02/01/2021
SKU10202,PrimeSelect Premium Box 202,Home & Kitchen,PrimeSelect,850.1,3829.39,02/02/2024
SKU10203,UrbanHome Classic Bottle 203,Office Supplies,PureLife,801.45,3488.5,27/09/2023
SKU10204,ValueMax Everyday Unit 204,Household,FreshMart,2222.28,1777.82,26/01/2019
SKU10205,PureLife Classic Unit 205,Dairy,GoodBuy,642.4,818.81,09/08/2024
SKU10206,SmartChoice Premium Unit 206,Electronics,UrbanHome,1613.27,1408.48,23/10/2019
SKU10207,PureLife Max Bottle 207,Home & Kitchen,GoodBuy,830.05,626.92,18/01/2024
SKU10208,HomePro Plus Box 208,Frozen Foods,PureLife,2379.61,3293.06,07/09/2019
SKU10209,TechPlus Classic Box 209,Home & Kitchen,SmartChoice,490.27,3121.32,13/06/2019
SKU10210,SmartChoice Everyday Pack 210,Beverages,FreshMart,1815.37,3644.12,01/11/2019
SKU10211,SmartChoice Plus Set 211,Groceries,HomePro,1384.16,281.68,26/01/2024
SKU10212,DailyChoice Max Unit 212,Dairy,DailyChoice,2447.2,3859.91,31/13/2022
SKU10213,FreshMart Classic Bottle 213,Beverages,PrimeSelect,2485.26,3866.72,12/02/2023
SKU10214,UrbanHome Everyday Box 214,Electronics,TechPlus,1988.37,2707.41,02/12/2020
SKU10215,PrimeSelect Classic Set 215,Personal Care,FreshMart,276.57,3530.54,27/10/2019
SKU10216,UrbanHome Everyday Unit 216,Snacks,PrimeSelect,1183.14,1770.6,18/05/2024
SKU10217,DailyChoice Everyday Set 217,Dairy,DailyChoice,2139.19,1274.22,12/09/2024
SKU10218,HomePro Max Bottle 218,Dairy,GoodBuy,1603.44,642.84,28/09/2024
SKU10219,UrbanHome Premium Set 219,Personal Care,PrimeSelect,2199.84,155.37,12/06/2019
SKU10220,GoodBuy Classic Set 220,Home & Kitchen,UrbanHome,2002.43,196.73,01/05/2025
SKU10221,SmartChoice Everyday Set 221,Office Supplies,PrimeSelect,796.14,2775.52,16/09/2022
SKU10222,SmartChoice Max Pack 222,Beverages,GoodBuy,503.76,1366.2,05/05/2020
SKU10223,ValueMax Max Box 223,Snacks,PureLife,819.96,244.62,11/05/2020
SKU10224,UrbanHome Premium Unit 224,Office Supplies,FreshMart,1745.94,475.44,11/06/2022
SKU10225,UrbanHome Everyday Pack 225,Frozen Foods,GoodBuy,1213.04,2671.18,17/02/2023
SKU10226,DailyChoice Classic Box 226,Beverages,GoodBuy,128.74,3756.56,02/05/2019
SKU10227,DailyChoice Plus Pack 227,Household,GoodBuy,1861.34,1649.67,25/05/2022
SKU10228,UrbanHome Premium Bottle 228,Snacks,ValueMax,130.85,3117.3,22/08/2020
SKU10229,DailyChoice Everyday Unit 229,Personal Care,SmartChoice,1035.07,3895.12,13/04/2025
SKU10230,TechPlus Everyday Unit 230,Household,GoodBuy,1166.47,2841.95,18/03/2023
SKU10231,TechPlus Plus Bottle 231,Snacks,DailyChoice,1267.51,2900.34,18/07/2021
SKU10232,DailyChoice Premium Pack 232,Groceries,TechPlus,364.95,2475.13,21/11/2021
SKU10233,PureLife Premium Pack 233,Home & Kitchen,FreshMart,1874.52,3911.38,24/09/2024
SKU10234,DailyChoice Plus Bottle 234,Electronics,GoodBuy,2126.44,1220.23,23/09/2023
SKU10235,GoodBuy Premium Box 235,Home & Kitchen,GoodBuy,1750.79,3138.46,26/08/2021
SKU10236,HomePro Everyday Unit 236,Household,GoodBuy,2378.66,1677.86,29/09/2024
SKU10237,SmartChoice Plus Set 237,Groceries,GoodBuy,658.6,647.02,04/04/2023
SKU10238,HomePro Classic Pack 238,Personal Care,HomePro,418.61,2965.31,29/05/2019
SKU10239,HomePro Plus Bottle 239,Household,DailyChoice,186.89,3322.73,26/04/2023
SKU10240,HomePro Premium Bottle 240,Electronics,UrbanHome,1809.37,3458.49,04/06/2025
SKU10241,PureLife Everyday Bottle 241,Electronics,TechPlus,422.03,3689.86,28/11/2024
SKU10242,SmartChoice Everyday Bottle 242,Office Supplies,FreshMart,2346.69,2987.3,17/04/2019
SKU10243,GoodBuy Max Pack 243,Frozen Foods,SmartChoice,1503.91,2124.65,13/01/2025
SKU10244,FreshMart Everyday Pack 244,Dairy,PureLife,2014.26,3756.62,20/09/2025
SKU10245,GoodBuy Premium Box 245,Home & Kitchen,HomePro,1098.05,861.98,11/02/2020
SKU10246,ValueMax Premium Set 246,Snacks,ValueMax,1842.42,336.92,14/05/2023
SKU10247,FreshMart Everyday Set 247,Dairy,TechPlus,1120.25,1743.55,02/03/2024
SKU10248,SmartChoice Premium Set 248,Personal Care,UrbanHome,1356.13,2341.41,19/04/2019
SKU10249,SmartChoice Premium Bottle 249,Electronics,HomePro,1938.48,2729.56,31/08/2024
SKU10250,ValueMax Premium Bottle 250,Office Supplies,PrimeSelect,610.62,3267.23,11/09/2021
SKU10251,SmartChoice Everyday Pack 251,Snacks,TechPlus,2213.58,136.22,18/01/2021
SKU10252,UrbanHome Everyday Set 252,Frozen Foods,TechPlus,1796.42,3214.12,31/13/2022
SKU10253,SmartChoice Classic Bottle 253,Electronics,TechPlus,1871.42,2412.51,18/06/2022
SKU10254,GoodBuy Classic Pack 254,Electronics,SmartChoice,610.64,3813.2,19/06/2024
SKU10255,DailyChoice Classic Pack 255,Home & Kitchen,ValueMax,243.52,1411.15,15/08/2024
SKU10256,GoodBuy Max Bottle 256,Office Supplies,HomePro,200.68,2479.4,17/07/2020
SKU10257,PureLife Premium Pack 257,Personal Care,TechPlus,1624.6,3073.2,29/08/2024
SKU10258,GoodBuy Everyday Set 258,Personal Care,TechPlus,392.01,2080.09,27/08/2024
SKU10259,ValueMax Classic Unit 259,Dairy,ValueMax,2497.99,648.95,03/06/2019
SKU10260,SmartChoice Premium Pack 260,Electronics,GoodBuy,2403.4,227.71,19/02/2021
SKU10261,FreshMart Premium Box 261,Dairy,GoodBuy,92.36,472.26,07/02/2019
SKU10262,UrbanHome Everyday Pack 262,Office Supplies,TechPlus,1818.14,1994.77,08/10/2025
SKU10263,UrbanHome Max Set 263,Personal Care,HomePro,666.71,2569.25,26/03/2022
SKU10264,PrimeSelect Plus Set 264,Dairy,GoodBuy,865.43,2294.97,07/11/2020
SKU10265,HomePro Classic Bottle 265,Personal Care,UrbanHome,615.97,2860.28,13/02/2025
SKU10266,HomePro Plus Box 266,Groceries,SmartChoice,2079.75,184.81,09/09/2023
SKU10267,DailyChoice Premium Set 267,Electronics,PureLife,2236.51,571.27,08/06/2025
SKU10268,ValueMax Everyday Box 268,Household,FreshMart,120.2,3051.73,23/06/2024
SKU10269,ValueMax Plus Set 269,Personal Care,PrimeSelect,689.69,3131.29,16/07/2025
SKU10270,PureLife Premium Unit 270,Office Supplies,DailyChoice,1132.77,2818.11,25/06/2020
SKU10271,HomePro Plus Bottle 271,Snacks,PrimeSelect,1314.12,2989.36,25/05/2020
SKU10272,PureLife Plus Box 272,Electronics,TechPlus,237.36,3854.86,09/07/2019
SKU10273,TechPlus Premium Set 273,Beverages,DailyChoice,2078.47,3778.55,07/05/2021
SKU10274,SmartChoice Classic Pack 274,Frozen Foods,GoodBuy,2336.27,2588.59,10/10/2022
SKU10275,ValueMax Classic Pack 275,Office Supplies,GoodBuy,1019.11,1297.76,13/11/2022
SKU10276,PrimeSelect Classic Pack 276,Snacks,ValueMax,2145.94,86.02,20/08/2023
SKU10277,PureLife Premium Pack 277,Personal Care,UrbanHome,1697.36,2537.48,08/01/2024
SKU10278,PureLife Classic Box 278,Frozen Foods,SmartChoice,1487.52,1742.28,05/08/2024
SKU10279,HomePro Premium Box 279,Groceries,TechPlus,2051.24,613.7,23/07/2022
SKU10280,PrimeSelect Max Set 280,Snacks,PrimeSelect,1193.11,884.57,12/11/2020
SKU10281,TechPlus Everyday Pack 281,Dairy,ValueMax,1378.34,3748.02,03/01/2022
SKU10282,HomePro Everyday Bottle 282,Snacks,SmartChoice,701.17,292.9,20/12/2024
SKU10283,UrbanHome Max Set 283,Household,PrimeSelect,1786.22,3156.26,01/08/2024
SKU10284,ValueMax Classic Box 284,Frozen Foods,FreshMart,414.47,3611.14,08/04/2025
SKU10285,ValueMax Plus Set 285,Home & Kitchen,HomePro,623.04,2762.74,12/09/2022
